event_datetime,event
2024-02-21T14:30:00Z,Start time for wave BIRKIE SKATE OT of race BIRKIE SKATE OT
2024-02-21T14:30:00Z,Start time for wave BIRKIE CLASSIC OT of race BIRKIE CLASSIC OT
2024-02-21T15:25:40Z,Median lap time for wave BIRKIE SKATE OT of race BIRKIE SKATE OT
2024-02-21T15:32:00Z,Median lap time for wave BIRKIE CLASSIC OT of race BIRKIE CLASSIC OT
2024-02-21T17:15:00Z,Start time for wave PRINCE HAAKON OT of race PRINCE HAAKON OT
2024-02-21T17:20:00Z,Start time for wave KORTE SKATE OT of race KORTE SKATE OT
2024-02-21T17:20:00Z,Start time for wave KORTE CLASSIC OT of race KORTE CLASSIC OT
2024-02-21T18:10:30Z,Median lap time for wave KORTE SKATE OT of race KORTE SKATE OT
2024-02-21T18:25:50Z,Median lap time for wave KORTE CLASSIC OT of race KORTE CLASSIC OT
2024-02-21T18:34:30Z,Median lap time for wave PRINCE HAAKON OT of race PRINCE HAAKON OT
2024-02-23T16:15:00Z,Start time for wave 01 ELITE M KS of race KORTE SKATE
2024-02-23T16:15:00Z,Start time for wave 02 U20 M KS of race KORTE SKATE
2024-02-23T16:25:00Z,Start time for wave 03 ELITE F KS of race KORTE SKATE
2024-02-23T16:25:00Z,Start time for wave 04 U20 F KS of race KORTE SKATE
2024-02-23T16:35:00Z,Start time for wave 05 ELITE M KC of race KORTE CLASSIC
2024-02-23T16:35:00Z,Start time for wave 06 ELITE F KC of race KORTE CLASSIC
2024-02-23T16:35:00Z,Start time for wave 07 U20 M KC of race KORTE CLASSIC
2024-02-23T16:35:00Z,Start time for wave 08 U20 F KC of race KORTE CLASSIC
2024-02-23T16:40:00Z,Start time for wave 09 W1 KC of race KORTE CLASSIC
2024-02-23T16:45:00Z,Start time for wave 10 W1 KS of race KORTE SKATE
2024-02-23T16:46:00Z,Median lap time for wave 01 ELITE M KS of race KORTE SKATE
2024-02-23T16:50:00Z,Start time for wave 11 W70 KS of race KORTE SKATE
2024-02-23T16:50:00Z,Start time for wave 12 W70 KC of race KORTE CLASSIC
2024-02-23T16:51:40Z,Median lap time for wave 02 U20 M KS of race KORTE SKATE
2024-02-23T16:55:00Z,Start time for wave 13 W2 KC of race KORTE CLASSIC
2024-02-23T17:00:00Z,Start time for wave 14 W2 KS of race KORTE SKATE
2024-02-23T17:00:40Z,Median lap time for wave 03 ELITE F KS of race KORTE SKATE
2024-02-23T17:05:00Z,Start time for wave 18 W3 KC of race KORTE CLASSIC
2024-02-23T17:07:00Z,Median lap time for wave 05 ELITE M KC of race KORTE CLASSIC
2024-02-23T17:08:00Z,Median lap time for wave 04 U20 F KS of race KORTE SKATE
2024-02-23T17:10:00Z,Start time for wave 15 W3 KS of race KORTE SKATE
2024-02-23T17:10:10Z,Median lap time for wave 06 ELITE F KC of race KORTE CLASSIC
2024-02-23T17:13:00Z,Median lap time for wave 07 U20 M KC of race KORTE CLASSIC
2024-02-23T17:15:00Z,Start time for wave 19 W4 KC of race KORTE CLASSIC
