event_datetime,event
2024-02-24T16:10:00Z,Start time for wave 14 W10 of race BIRKIE SKATE
2024-02-24T16:15:20Z,Median lap time for wave 08 W4 of race BIRKIE SKATE
2024-02-24T16:30:40Z,Median lap time for wave 09 W5 of race BIRKIE SKATE
2024-02-24T16:48:10Z,Median lap time for wave 10 W6 of race BIRKIE SKATE
2024-02-24T16:52:30Z,Median lap time for wave 11 W7 of race BIRKIE SKATE
2024-02-24T16:54:40Z,Median lap time for wave 12 W8 of race BIRKIE SKATE
2024-02-24T16:56:50Z,Median lap time for wave 14 W10 of race BIRKIE SKATE
2024-02-24T16:56:55Z,Median lap time for wave 13 W9 of race BIRKIE SKATE
2024-02-25T14:15:00Z,Start time for wave 00 W35 of race BIRKIE CLASSIC
2024-02-25T14:35:00Z,Start time for wave 01 ELITE F of race BIRKIE CLASSIC
2024-02-25T14:35:00Z,Start time for wave 02 ELITE M of race BIRKIE CLASSIC
2024-02-25T14:40:00Z,Start time for wave 03 W1 of race BIRKIE CLASSIC
2024-02-25T15:00:00Z,Start time for wave 04 W2 of race BIRKIE CLASSIC
2024-02-25T15:10:00Z,Start time for wave 05 W70 of race BIRKIE CLASSIC
2024-02-25T15:12:20Z,Median lap time for wave 02 ELITE M of race BIRKIE CLASSIC
2024-02-25T15:15:00Z,Start time for wave 06 W3 of race BIRKIE CLASSIC
2024-02-25T15:15:30Z,Median lap time for wave 01 ELITE F of race BIRKIE CLASSIC
2024-02-25T15:20:20Z,Median lap time for wave 00 W35 of race BIRKIE CLASSIC
2024-02-25T15:24:10Z,Median lap time for wave 03 W1 of race BIRKIE CLASSIC
2024-02-25T15:25:00Z,Start time for wave 07 W4 of race BIRKIE CLASSIC
2024-02-25T15:35:00Z,Start time for wave 08 W5 of race BIRKIE CLASSIC
2024-02-25T15:45:00Z,Start time for wave 09 W6 of race BIRKIE CLASSIC
2024-02-25T15:50:30Z,Median lap time for wave 04 W2 of race BIRKIE CLASSIC
2024-02-25T16:13:05Z,Median lap time for wave 06 W3 of race BIRKIE CLASSIC
2024-02-25T16:23:40Z,Median lap time for wave 05 W70 of race BIRKIE CLASSIC
2024-02-25T16:33:40Z,Median lap time for wave 07 W4 of race BIRKIE CLASSIC
2024-02-25T16:47:20Z,Median lap time for wave 08 W5 of race BIRKIE CLASSIC
2024-02-25T16:53:00Z,Median lap time for wave 09 W6 of race BIRKIE CLASSIC
